index,Country,Year,Stunted,Caloric_intake,GDP_per_capita,Population,Underweight,Undernourished_People,Mortality_Rate,Prevalence of wasting,Death_Rate,Number_of_wasted_children,Number_of_food_insecure_people,GHI,GHI_Severity_lvl
108,India,2013,37.1,0.25,4780.12,1291132032.0,33.03333333333333,188100000.0,4.9054914,17.733333333333334,2.57,25600142.0,97900000.0,71.82121402020957,Extremely Alarming
109,Iran,2013,5.8,0.27,14113.458,78458928.0,4.199999999999999,5000000.0,1.6799415,4.15,0.38,243797.0,39200000.0,9.498465394016778,Low
110,Iraq,2013,17.35,0.38,9503.875,35481804.0,5.55,5800000.0,3.1749206,4.75,0.41,322692.0,97900000.0,20.561365107315748,Serious
111,Syria,2013,27.9,0.26,18893.909880263156,21495830.0,10.4,1800000.0,4.543243,11.5,0.72,356298.0,97900000.0,35.069509546359754,Alarming
112,Japan,2013,7.1,0.17,39569.637,127678920.0,3.4,3999999.9999999995,0.29187492,2.3,0.36,124400.0,5500000.0,2.927999337253154,Low
113,North Korea,2013,23.5,0.26,18893.909880263156,25001824.0,12.25,9800000.0,2.4,3.2500000000000004,2.09,63901.0,97900000.0,19.32449143791965,Moderate
114,Sri Lanka,2013,15.95,0.24,11414.167,21131762.0,23.3,2500000.0,0.9851939,18.2,0.99,383878.0,2400000.0,21.947525508938735,Serious
115,South Korea,2013,24.59379585326954,0.22,37021.133,50098228.0,16.111339712918664,233899999.99999997,0.37296188,8.522046783625731,0.16,25600142.0,2900000.0,48.09537858880293,Alarming
116,Malaysia,2013,20.066666666666666,0.22,22350.908,30134806.0,13.4,1700000.0,0.8076104000000001,9.733333333333333,1.25,299188.0,5400000.0,15.86232420275317,Moderate
117,Bhutan,2013,33.5,0.2581818181818182,8929.046,728898.0,12.7,233899999.99999997,3.6267796,5.9,0.8,3929.0,97900000.0,62.244066393055974,Extremely Alarming
118,Nepal,2013,36.2,0.26,2982.287,27381558.0,27.575,2100000.0,3.938376,11.025,6.64,352224.0,11200000.0,35.66538451975922,Alarming
119,Myanmar,2013,28.049999999999997,0.28,3409.649,50648336.0,18.8,3000000.0,5.588302,6.65,4.52,301969.0,15800000.0,35.429808608487356,Alarming
120,Mongolia,2014,10.7,0.25,11107.989,2902826.0,1.875,300000.0,2.0379777,1.175,0.01,4637.0,200000.0,9.75311200898034,Low
121,Israel,2014,24.59379585326954,0.2,37144.48,7863849.0,16.111339712918664,233899999.99999997,0.40298563,8.522046783625731,0.35,25600142.0,1200000.0,48.21293142875015,Alarming
122,Myanmar,2014,28.049999999999997,0.28,3658.5935,51072436.0,18.8,2500000.0,5.3759575,6.65,4.26,301969.0,15800000.0,34.5270936622107,Serious
123,Indonesia,2014,35.46666666666666,0.27,9759.025,256229760.0,18.733333333333334,20400000.0,2.8807046,12.0,16.88,3251343.0,20000000.0,34.63860865151107,Serious
124,Iraq,2014,17.35,0.38,9194.864,36746484.0,5.55,6200000.0,3.0751023,4.75,0.38,322692.0,97900000.0,20.22759688826165,Serious
125,Iran,2014,5.8,0.27,14538.521,79961672.0,4.199999999999999,5000000.0,1.6145465,4.15,0.36,243797.0,39200000.0,9.242422495699639,Low
126,China,2014,7.433333333333334,0.19,11851.404,1385189632.0,2.9,233899999.99999997,1.1558432999999997,2.033333333333333,1.11,1974271.0,97900000.0,39.0170902576268,Alarming
127,Malaysia,2014,20.066666666666666,0.22,23328.344,30606454.0,13.4,1800000.0,0.81196785,9.733333333333333,1.25,299188.0,5400000.0,15.893648350857514,Moderate
128,Pakistan,2014,42.06666666666666,0.24,4403.673,208251632.0,28.76666666666667,27700000.0,7.8434515,10.833333333333336,4.28,4167102.0,97900000.0,56.78903319339381,Extremely Alarming
129,Thailand,2014,13.433333333333332,0.23,15509.181,69960944.0,7.866666666666666,5200000.0,1.1290915,6.6000000000000005,1.02,273870.0,5100000.0,12.415461186151363,Moderate
130,Japan,2014,7.1,0.17,39739.543,127476728.0,3.4,3999999.9999999995,0.28367758,2.3,0.35,124400.0,5500000.0,2.8959040594476493,Low
131,Yemen,2014,46.5,0.41,18893.909880263156,27753310.0,37.7,9100000.0,5.8795304,14.85,5.02,696998.0,22200000.0,51.495930490766554,Extremely Alarming
132,North Korea,2014,23.5,0.26,18893.909880263156,25126140.0,12.25,10000000.0,2.24,3.2500000000000004,2.0,63901.0,97900000.0,18.72656550084925,Moderate
133,Singapore,2014,24.59379585326954,0.2581818181818182,87616.64,5570505.0,16.111339712918664,233899999.99999997,0.2745716,8.522046783625731,0.01,25600142.0,400000.0,47.7101483348472,Alarming
134,Sri Lanka,2014,15.95,0.24,12029.375,21239448.0,23.3,2200000.0,0.9306739,18.2,0.96,383878.0,2400000.0,21.691271904989115,Serious
135,South Korea,2014,24.59379585326954,0.22,37967.477,50558044.0,16.111339712918664,233899999.99999997,0.36200064,8.522046783625731,0.16,25600142.0,2900000.0,48.052461734934134,Alarming
136,Syria,2014,27.9,0.26,18893.909880263156,20072232.0,10.4,1900000.0,4.7263627,11.5,0.73,356298.0,97900000.0,35.80074660217406,Alarming
137,Bhutan,2014,33.5,0.2581818181818182,9349.044,736362.0,12.7,233899999.99999997,3.466184,5.9,0.74,3929.0,97900000.0,61.61528188535692,Extremely Alarming
138,South Korea,2015,24.59379585326954,0.22,38828.742,50994396.0,16.111339712918664,233899999.99999997,0.3518742,8.522046783625731,0.16,25600142.0,2400000.0,48.01281339718301,Alarming
139,Thailand,2015,13.433333333333332,0.23,15919.37,70294408.0,7.866666666666666,4900000.0,1.0790528,6.6000000000000005,1.01,273870.0,3300000.0,12.176753343196141,Moderate
140,China,2015,7.433333333333334,0.19,12612.352,1393715456.0,2.9,233899999.99999997,1.0713093,2.033333333333333,1.13,1974271.0,97900000.0,38.68611188976471,Alarming
141,Singapore,2015,24.59379585326954,0.2581818181818182,89160.73,5650020.0,16.111339712918664,233899999.99999997,0.2738592,8.522046783625731,0.01,25600142.0,200000.0,47.70735905492119,Alarming
